Date,Portfolio Value
2019-08-22,119490.05290347675
2019-08-23,115698.37705234333
2019-08-26,117140.00744866008
2019-08-27,116520.4185780046
2019-08-28,117567.2656655274
2019-08-29,119429.92137900728
2019-08-30,119540.80949184328
2019-09-03,118409.81939824381
2019-09-04,119778.07215258248
2019-09-05,122349.5444915091
2019-09-06,122272.5725697088
2019-09-09,122430.24641253024
2019-09-10,122713.00094370198
2019-09-11,123454.72557156744
2019-09-12,123719.47968929434
2019-09-13,123194.03386395753
2019-09-16,122359.3114997407
2019-09-17,122735.80745119238
2019-09-18,122938.10960083043
2019-09-20,122182.19184817921
2019-09-23,122062.28928454497
2019-09-24,121080.08425260917
2019-09-25,122184.30725669088
2019-09-26,121546.87915229001
2019-09-27,121270.1906424847
2019-09-30,121906.9088140756
2019-10-01,120565.90600160896
2019-10-02,118754.62567611241
2019-10-03,118985.79354794438
2019-10-04,120896.9215661177
2019-10-07,120771.09184353752
2019-10-08,119176.99090882763
2019-10-09,119725.24284115066
2019-10-10,120478.0121045425
2019-10-11,121869.64671709687
2019-10-14,121817.07442347484
2019-10-15,123638.35869717647
2019-10-16,123690.05894015444
2019-10-17,124515.83491922189
2019-10-18,122844.82732194703
2019-10-21,123639.67560600504
2019-10-22,123863.97393746782
2019-10-23,123748.37914376051
2019-10-24,123766.13623375386
2019-10-25,124116.48223088203
2019-10-28,125017.71053423753
2019-10-29,124746.72720791487
2019-10-30,125509.209631594
2019-11-01,126341.18983219178
2019-11-04,127337.0201574668
2019-11-05,127215.25722040437
2019-11-06,127316.48600975618
2019-11-07,128149.44090167117
2019-11-08,128481.88461668728
2019-11-11,127847.05071474658
2019-11-12,127995.76031404438
2019-11-13,127697.9055137468
2019-11-14,127601.27512102689
2019-11-15,128806.40213499019
2019-11-18,129460.7719115337
2019-11-19,129457.41474667368
2019-11-20,129054.8898584599
2019-11-21,128984.44027694728
2019-11-22,129745.0419207055
2019-11-25,131365.3831332778
2019-11-26,131166.32901085218
2019-11-27,131678.4258684123
2019-11-29,131231.18696916787
2019-12-02,129697.41277405298
2019-12-03,128424.9420035966
2019-12-04,129577.4366722411
2019-12-05,130117.09468230138
2019-12-06,131647.2165963065
2019-12-09,131081.45567997464
2019-12-10,131337.4053937526
2019-12-11,131832.62297035355
2019-12-12,133532.06010726313
2019-12-16,134016.5410653908
2019-12-17,134867.2803837855
2019-12-18,134927.83230062312
2019-12-19,135781.9581682047
2019-12-20,135683.089827311
2019-12-23,136217.76907831166
2019-12-24,136035.13192865977
2019-12-26,137068.69429068483
2019-12-27,137032.73768763823
2019-12-30,136031.28990105487
2019-12-31,136583.75730178462
2020-01-02,138530.09269503757
2020-01-03,137093.45801577222
2020-01-06,137456.44128114128
2020-01-07,137518.29801653864
2020-01-08,138150.34896245832
2020-01-09,139406.95632804293
2020-01-10,138908.75340599444
2020-01-13,139965.36184828766
2020-01-14,139793.32015567354
2020-01-15,139850.03091874372
2020-01-16,141217.85033678164
2020-01-17,141396.60401361765
2020-01-21,140698.39048183613
2020-01-22,141065.9111286
2020-01-23,141137.25510180864
2020-01-24,140149.69701754642
2020-01-27,137262.317121222
2020-01-28,139082.40238440078
2020-01-30,139686.38923373414
2020-01-31,137249.22740675608
2020-02-03,137922.0652250999
2020-02-04,140129.06509184348
2020-02-05,141724.88411072353
2020-02-06,142026.17366719403
2020-02-07,141003.65684162077
2020-02-10,142181.42519089696
2020-02-11,142411.4662493678
2020-02-12,143522.12607359642
2020-02-13,142958.468854315
2020-02-14,143104.7122213876
2020-02-18,142538.75426065054
2020-02-19,143501.55118674395
2020-02-20,142893.47876956567
2020-02-21,141456.6731081609
2020-02-24,136177.08857083385
2020-02-25,131586.9816012009
2020-02-26,131231.88231422627
2020-02-27,125469.47231750467
2020-02-28,123475.3439334149
2020-03-02,129705.1651942714
2020-03-03,125829.8457494556
2020-03-04,132009.05234021772
2020-03-05,127410.9911665594
2020-03-06,125770.81332409254
2020-03-09,116293.12642829407
2020-03-10,122368.07758652292
2020-03-11,115414.41775475156
2020-03-13,116286.79672032312
2020-03-16,102102.99615189637
2020-03-17,106627.37782885862
2020-03-18,99723.85408472714
2020-03-19,100033.76919823524
2020-03-20,95322.1373502702
2020-03-23,93743.16672840652
2020-03-24,104022.3394145446
2020-03-25,106758.77113323683
2020-03-26,113045.02894907276
2020-03-27,108551.50346058875
2020-03-30,110848.65744154574
2020-03-31,108198.28181080692
2020-04-01,103004.58175612382
2020-04-02,105015.93401072614
2020-04-03,103119.50036999099
2020-04-06,111395.1460530106
2020-04-07,111226.38457447346
2020-04-08,114650.46870042811
2020-04-09,117189.3407396049
2020-04-13,116201.95133572246
2020-04-14,118228.89277656237
2020-04-15,115940.69992577353
2020-04-16,114981.7241757247
2020-04-17,119391.38305872127
2020-04-20,116702.17179819096
2020-04-21,113626.15028220312
